text;scheme_gold
a man dies of prostate cancer every 45 minutes in the UK. we're not up in arms about men dying from prostate cancer every second of the day. we need to accept that Covid19 is going to be with us.;Analogy
the COVID-19 pandemic is a kind of tea party compared to the disaster of climate change that we're going to face. children are facing not only this pandemic.;Analogy
the advice just keeps changing. we haven't done well but we haven't done as badly as some other countries. ;Best Explanation
Naomi Osaka wasn't accosted by the press when she was world number 3 or world No. 8 tennis player. being accosted by the press is part of the job of the world number 2 tennis player. Naomi Osaka is the world number 2 in tennis. being accosted by the press could be new to Naomi Osaka.;Best Explanation
Naomi Osaka is a very young lady. it extends to a wider point with mental health and other issues, sexism, racism, that people say you're going through something, to share that experience and to tell people your issues and your problems. Naomi Osaka has been forced to take a lot of responsibility at an early age. ;Best Explanation
we miss out on people who bring a different power to the way they think and the discussions that they have. introverts are too scared to get involved in the real to and fro. it is a huge shame that finding introverts in politics is impossible. ;Best Explanation
if you're a very poor woman with children, living alone, with no resources, and no knowledge of how to argue these things and where to find help. eviction is just criminal. ;Best Explanation
we now know as of today we vaccinated 50 percent of adults. we're continuing to roll out the vaccine programme. we're in a really strong position at the moment.;Best Explanation
Naomi Osaka identifies with the Black community. Naomi Osaka's mother is Japanese. Naomi Osaka is interesting. ;Best Explanation
lead sports people are in the public eye. we should respect that lead sports people are higher at risk of mental health problems. ;Best Explanation
the public purse is being used at the moment for furlough. the government are temporarily propping up things in the very short term. ;Best Explanation
they have death rates of China 3 per million. Vietnam less than 1 per million. we're at 1,900 per million deaths and we've had three lockdowns. China and Vietnam had no lockdowns. the countries that have been most successful, the Asian states, they suppress the virus by proper public health control measures..;Best Explanation
we need a permanent long-term solution. where we got it really wrong is when there's ambiguity. ;Best Explanation
it would be easier if people knew what they can and can't do rather than what they may be able to do. where we got it really wrong is when there's ambiguity. ;Best Explanation
you have had one dose of the vaccine you are only 34 percent protected. you had two doses, you're only about two-thirds protected. that means the real figure is only 40 percent of our population has had two doses.;Best Explanation
a woman renting a house or a flat with two children can't pay her rent. a woman renting a house or a flat with two children being terrified that at any minute she is going to be evicted. ;Best Explanation
a woman renting a house or a flat with two children can't pay her rent. a woman renting a house or a flat with two children being terrified. ;Best Explanation
children are our future. that the UK spends most per head on tertiary education rather than all the others and vocational is a good thing as well. ;Best Explanation
things are back to normal. look at this, the way the rent is paid, whatever. ;Best Explanation
it's 7 months' time before the spending review. students will be leaving school in 7 months' time.;Cause to Effect
education is absolutely fundamentally important. education is one of the reasons Lucy Frazer went into politics. ;Cause to Effect
the spending review will be coming up in the autumn. we will look at the spending review in the autumn. ;Cause to Effect
an unnamed popular journalist in the UK has been forthright in his views about Naomi Osaka. when Naomi Osaka shared her experience and told people her issues and her problems she has been lambasted and vilified by very many people. ;Cause to Effect
kids could get into school and do some activity over the weekend and use the facilities that they have. last week Peter Kyle met a parent of a kid who, with his friends, jumped over the fence of his school. ;Cause to Effect
Boris Johnson says no. Rishi Sunak cuts the money. ;Cause to Effect
the other data is good. we might be able to open up on 21 June.;Cause to Effect
Michael Gove not ruling out an extension to furlough means more people losing their jobs or not earning as much, not able to pay their rent. now is not the time to end the eviction ban. ;Cause to Effect
it is important we protected tenants. we didn't want anyone to be thrown out of their houses during this period. we protected tenants for a long time. ;Cause to Effect
things could very quickly get out of control. the more transmissible a virus, the more coverage you need in order to achieve herd immunity. we need restrictions on indoor mixing and the wearing of masks. ;Cause to Effect
the decisions that are made now will affect in 5, 10, 15 years' time. Heather McGregor is more worried about what is happening over the much longer term.;Cause to Effect
social media abuse has much contributed to Naomi Osaka's mental health state. Naomi Osaka doesn't want to do it. ;Cause to Effect
China and Vietnam had no lockdowns. China's and Vietnam's economy is thriving. ;Cause to Effect
lots of performers don't like performing live. lots of performers perform in the studio. ;Cause to Effect
lots of performers can't cope with performing live emotionally. lots of performers don't like performing live. ;Cause to Effect
