text;scheme_gold
Gavin Williamson is spending more on eat out to help out than our children catch up on their education over the summer holidays after the worst global pandemic in a century. Gavin Williamson really has to wonder where his priorities are. ;Default Inference
we need to see real action. we do not need just more slogans from this government. ;Practical Reasoning
for some of those people whose Universal Credit was coming to an end it will be heat or eat. it struck Nick Ferrari for Boris Johnson to deliver a speech in that fashion on the very day that Universal Credit was coming to an end for a lot of people. ;Default Inference
for some of those people whose Universal Credit was coming to an end it will be heat or eat. Boris Johnson's time to hold the speech was very poor timing. ;Default Inference
you put Cristiano Ronaldo out front. you don't put Cristiano Ronaldo in the back four. ;Default Inference
Boris Johnson did what Boris Johnson does. Boris Johnson's speech was the speech we got. ;Default Inference
the pig industry is livelihoods and the pig industy is people's businesses. the issue of culling healthy pigs that won't go into our food chain has to be resolved. ;Default Inference
you know what will happen when we don't want a pig industry in this country. we will import pigmeat that's produced to lower standards. ;Consequences 
we have got temporary workers who are here in the UK and they're on temporary visas. the temporary workers could switch to being able to work in the abattoirs. ;Default Inference
the temporary workers have to go home in order to reapply for a visa, in order to come back. the Government could take some steps right now that would ease the food production problem. ;Default Inference
improving conditions in the industry is about the conditions that people have to work in as well. it is not all about wages. ;Default Inference
five years ago, this country took a decision that we were leaving the European Union. that means we've had 5 years under this government to plan.;Default Inference
five years ago, this country took a decision that we were leaving the European Union. there should have been a taskforce to look at where the labour shortages would be. ;Practical Reasoning
five years ago, this country took a decision that we were leaving the European Union. we should not be in a position where farmers are facing the prospect of having to slaughter perfectly well animals at a cost to the food supply chain simply because this government hasn't got a plan. ;Practical Reasoning
making beds in hotels and picking strawberries and broccoli are skilled jobs. you do not get more skilled than picking a strawberry. ;Default Inference
you go to Wheelmore. you will see on fresh fruit and veg. ;Default Inference
higher skills and higher wages. putting new capital to work for more machinery that can do everything is happening across all sectors of the economy. ;Default Inference
you cannot go straight to, you know, the cheap labour that we gorged on because of uncontrolled migration. you have got to work with industry to take us on that journey. ;Consequences
Nadhim Zahawi is paying seasonal workers £15 an hour at the moment. seasonal workers from abroad wasn't cheap labour.;Default Inference
Wheelmore had a big shout-out on Question Time. well done Wheelmore. ;Default Inference
Wheelmore had a big shout-out on Question Time. this has been Wheelmore's night. ;Default Inference
that putting new capital to work for more machinery that can do everything is happening across all sectors of the economy is a good thing. you have got to work with industry to take us on that journey. ;Default Inference
the fundamental opinions of men in the UK stem from education. you need to modernise the English literature curriculum and have books that encourage discussion about rape or sexual assault. ;Default Inference
we are looking at the society of Victoria, which is important. we need to solve the fundamental sickness in society that men have. you need to modernise the English literature curriculum and have books that encourage discussion about rape or sexual assault. ;Practical Reasoning
we have food poverty in this country. we are throwing away decent food that could feed children who are going hungry. the pointless mass slaughter of pigs is a ridiculous and sad situation. ;Consequences 
the pointless mass slaughter of pigs is just ridiculous. they've got to do something. ;Waste
Nadhim Zahawi represents the rural constituency of Stratford upon Avon. Nadhim Zahawi represents Vale fresco that produces the salad for supermarkets and Wealmoor. ;Default Inference
to see what is happening. I went to see Vale Fresco and Wealmoor. ;Default Inference
to bring it to life for you. I went to see Vale Fresco and Wealmoor. ;Default Inference
Rishi Sunak is giving a tax break. Wealmoor are going to invest. ;Cause to Effect
Wealmoor are going to invest in more machinery. Wealmoor are going to invest in upskilling our people. Wealmoor staff will be able to work with the new machinery. ;Default Inference
we have got to go further. we have to work with the industry on sustainable solutions to this. the temporary visas is not enough. ;Default Inference
everyone has lived through the incredibly difficult period. everyone knows that we have been through an incredibly difficult period. ;Position to Know
the question about the Prime Minister's speech was from the audience. the question about the Prime Minister's speech wasn't Fiona Bruces question. ;Default Inference
;
;
;
these pigs are under contract. these farmers, this doesn't stop, this doesn't end. ;Default Inference
the vets in this country are there to save lives. the fact that the pigs will have to be destroyed is a massive issue for the vets in this country. ;Default Inference
18 months ago, farmers were the key workers, they are providing 60% of the country's food. here we are, the first country in the world facing a cull of healthy livestock, potentially up to 120,000 pigs. it has been heartbreaking.;Waste
we are left reliant on the markets. gas and electricity bills soaring. ;Default Inference
big on slogans, little on detail. we need to see real action. ;Direct ad Hominem
AudienceMember 20211014QT06's fear is that it is the poorest and most vulnerable who will be left behind after all those soundbites. Boris Johnson will pay attention to areas of Lisa Nandy's where people have to get out in order to get on.;Default Inference
we cannot take energy for granted. the Tories got rid of gas storage. ;Default Inference
a lot of people across the country will be wondering how, when they go into the winter months, how they make ends meet. for some of those people whose Universal Credit was coming to an end it will be heat or eat. ;Default Inference
£0.5 billion for this winter to help those families that you are all talking about. for some of those people whose Universal Credit was coming to an end it will be heat or eat.;Default Inference
the UK Government announced £3,000 in bonuses for teachers in maths, physics and chemistry to those schools who need them most. thank you to the early years teacher who was talking about the hard work.;Default Inference
the point was made about foodbanks and austerity. we have had enough of seeing in this country people going to foodbanks and people living on the streets and people unable to afford rent. ;Default Inference
daffodils worth well over £1.3 million. these sectors are worth a lot to our economy.;Example
we've got a flower sector that's worth £2 billion. these sectors are worth a lot to our economy.;Example
people are watching their livelihoods go up in smoke. culling healthy pigs has been a human disaster for the pig farmers who are distraught. ;Default Inference
the Government could take some steps right now that would ease the food production problem. this is the start and it has to be resolved. ;Practical Reasoning
XXX is why it has come to this point. we should not be in a position where farmers are facing the prospect of having to slaughter perfectly well animals at a cost to the food supply chain simply because this government hasn't got a plan. ;Default Inference
the tide is turning. we've got a shortage of butchers. ;Cause to Effect
from a seasonal worker prospective you wouldn't come abroad with temporary restrictions such as you can stay here for 2 months and help us out. the food production problem has been caused by a combination of factors, whether it is the global pandemic or the fact that we've had these changes to immigration rules.;Default Inference
what you can control, Nadhim Zahawi, is how people can get into this country. the temporary workers have to go home in order to reapply for a visa, in order to come back. ;Cause to Effect
society has got to change. the culture of misogyny of men treating women very badly indeed has gone on for far too long. ;Practical Reasoning
Sarah Everard is not the only one. with regard to Sarah Everard's murder xxx is the reason that the Government are not doing anything to educate people and combat the trend of victim blaming. ;Default Inference
it took from March 3rd to October to call for the Sarah Everard inquiry because xxx. violence against property is deemed serious enough for all police forces to have to make it a top priority.;Default Inference
the Government are going to change the fundamental opinions of men in the UK by xxx. society has got to change. ;Default Inference
when Nadhim Zahawi was a Minister for Children and Families, we brought in both relationship education at primary school, as compulsory and sex and relationship education at secondary school as compulsory as well and we did a lot of really deep thinking, hard work and consultation for that bit of the curriculum. it starts at school. ;Position to Know
the police have paid a heavy price here for an inquiry that should have been called to see how the recruitment process failed catastrophically. the police do a fantastic job. ;Default Inference
there could have been prejudicial issues there. it may have been tricky to have an inquiry before the trial. ;Cause to Effect
the police have got to get their crime rates up. the police are not bothered about that they can't get an arrest straightaway. ;Default Inference
the police can't get an arrest straightaway. it takes time to solve. ;Default Inference
Boris Johnson will pay attention to areas of Lisa Nandy's where people have to get out in order to get on. Boris Johnson will do something about the fuel crisis. ;Default Inference
you want to make good on those promises. you have to actually have a plan. ;Practical Reasoning
you have to actually have a plan. wherever you look at it, this government just seems to lack a plan to make good on their promises. ;Default Inference
the Tories keep saying we like to reduce the debt. the Tories keep spouting we're the party of economic competence. ;Default Inference
the debt has quadrupled. where we are today, debt has gone up considerably. ;Default Inference
Boris Johson is a clown, a joker and he is a showman. it is incompetence and it is irrational and people must see what Boris is doing. ;Direct ad Hominem
we need real leadership and my personal opinion, AudienceMember 20211014QT08 is seeing what Keir did last week, that's where leadership is. we must trust in new leaders.;Witness Testimony
you give somebody something and they get used to it and you take it away. that's a big blow, especially when there is going to be inflation that's rampant in this country over the next few months. ;Default Inference
that's a big blow, especially when there is going to be inflation that's rampant in this country over the next few months. the Universal Credit uplift and then a downlift is the most idiotic thing AudienceMember 20211014QT09 can imagine.;Default Inference
the money is going to be taken away. whatever the gas prices, and whatever the haulage crisis, that money should not have been given. ;Default Inference
that's a big blow, especially when there is going to be inflation that's rampant in this country over the next few months. whatever the gas prices, and whatever the haulage crisis, that money should not have been given. ;Consequences
the debt has quadrupled. the Tories keep spouting we're the party of economic competence is laughable. ;Default Inference
