text;scheme_gold
any family is curious about whether the baby is going to have its grandfather's big ears. it is unclear if the remarks were, as Megan's father suggested, a crass way of wondering is this baby going to have its grandfather's big ears. ;Default Inference
the fact that the Audience Member's daughter has to walk through a wooded area shouldn't be an issue. Audience Member's daughter is a bit worried. ;Default Inference
unfortunately the Audience Member's daughter feels worried. Audience Member told her daughter she shouldn't feel worried when walking through the woods. ;Default Inference
did not give any sort of context. Harry and Meghan have branded, as Dan Hodges said, this institution, which is important to millions of people in this country, as racist without any evidence. ;Default Inference
Dan Hodges does or doesn't think there isn't racism in the coverage. Dan Hodges had the society of editors who had to resign after releasing a statement saying the British press is not racist. ;Default Inference (QA)
Audience Member has received inappropriate behaviour, starting from whistles when she has walked past. Sam has or has not been on the receiving end of inappropriate behaviour. ;Default Inference (QA)
the government has announced a policy of tax rises and cuts to public spending before we know at what state the economic recovery will be at. Dan Hodges cannot for the life of him understand why the government has decided to set out a strategy for eradicating the deficit accrued over the course of the pandemic whilst we're still in the midst of the pandemic. ;Ignorance
the NHS staff does or does not deserve more than a 1 percent pay rise. we deserve greater than a 1 percent pay rise.;Default Inference (QA)
your service, our service here, is the envy of the world. the NHS doesn't exist anywhere else in the rest of the world. ;Best Explanation
that women don't know which men will commit gender-based violence is why a lot of people are more cautious. the real issue and the real difficulty for women is they don't know which men will commit gender based violence. ;Best Explanation
one chooses which Royal Family is the baddy and which is the goody. the difference in talking about Megan and Kate Middleton is an example of what is part of our national obsession of playing minor royals off. ;Best Explanation
it is very difficult to judge the level of public services we want and can afford because frankly, we have a chancellor who, at the moment, Dan Hodges thinks has fallen and hit his head. the problem is that at the moment it is very difficult to judge the level of public services we want and can afford. ;Direct Ad Hominem
the royal family are are the courtier. the Royal Family is not just a bunch of people. ;Verbal Classification
you just can't point at one family and say this is their problem. the issues raised in this instance are actually issues that we as a society all need to tackle. ;Default Inference
you wouldn't cross a road without looking both ways. xxx is why Becky Unknown shouldn't be able to go running when she wants to. there are different views on gender-based violence. ;Default Inference (QA)
there is institutional racism in all forms across society. the argument that the British media is somehow exempt from racism would be ridiculous. ;Analogy
the fear is we live in a society now where most people you walk past are anonymous to you. we need to be more courteous to each other in public spaces so everybody feels safer. ;Cause To Effect
there are three levels that this change works at. the short term as an emergency measure, women have to be in charge. ;Default Inference
the Royal Family and royalty is a deeply embedded subconscious thing in this culture because you always had kings and queens on these isles, always. what Diane said today that was so powerful -- and we're not talking about it. ;Default Inference
there's the network around the royal family that keeps them going, props them up, tells them, you go here, you go there. the Royal Family is not just a bunch of people. ;Default Inference
what we do need are these women in place in the long run. there are three levels that this change works at. ;Default Inference
these issues have been around for a long time. it is time we started to have a conversation about how to resolve them. ;Default Inference
seeing people is how behaviour changes too, people have to see people in positions of power. not seeing people is not just and that's the education. ;Default Inference
we educate ourselves. not seeing people is not just and that's the education. ;Default Inference
the reality is the decision on public sector pay should be based on two criteria. NHS staff deserving a better pay rise than 1 percent is possibly not because of the reasons put forward.;Default Inference
the 2.5 percent pay increase was baked into the budget going forward. people were surprised.;Default Inference
there are men that are very much discriminated against in our society. we have to be very careful about the narrative here. ;Default Inference
even with a lot of campus security, the worry still plays on the mind of the Audience Member's daughter. unfortunately the Audience Member's daughter feels worried. ;Default Inference
Sarah Everard's murder is very raw for one particular family. Sarah Everard's murder is very raw and her family don't really know what's happened to somebody who disappeared. ;Default Inference
the first and deputy First Minister of Northern Ireland are both female. Northern Ireland is the only part of the United Kingdom that doesn't have specific gender-based violence strategy in place. AudienceMember 20210318QT08 is completely dismayed to actually find out that we do not have any specific gender-based violence strategy in place in Northern Ireland.;Established Rule
there's a real issue here how we respect the people who have saved lives and done extraordinary work. NHS frontline jobs are not ordinary jobs. ;Default Inference
Victor Adebowale absolutely hit the nail on the head here. Steve Reed wants to agree with what Victor Adebowale said. ;Default Inference
the evidence to AudienceMember 20210318QT22 was confused. So the answer, and AudienceMember 20210318QT22's point that they would make, is they don't really know about whether the Royal Family are racist.;Default Inference
Audience Member does think that we should accept the 1 percent pay rise. we should accept the 1 percent pay rice for the greater societal good.;Default Inference
we need to design our public spaces to meet the needs of women. AudienceMember 20210318QT14 thinks it is a reassuring thing to see police on our streets as a form of protection for us all.;Default Inference
Dan Hodges is making a broader point. there is institutional racism in all forms across society. ;Default Inference
the Royal Family is a family comprised of people who are part of the society. there is racism in our society and it is deeply engrained. no, Steve Reed doesn't want to answer the question. ;Default Inference
Dan Hodges finds it quite patronising that the NHS staff especially deserve a pay increase because over the last 12 months they have been doing incredible work saving lives. NHS staff deserving a better pay rise than 1 percent is possibly not because of the reasons put forward.;Default Inference
Bonnie Greer is not a politician. Bonnie Greer doesn't know all these figures. ;Default Inference
Fiona Bruce asked what the government can do. the Tory government needs to be reflective on what it can or cannot do. ;Default Inference
Sarah Everard's murder is very raw and her family don't really know what's happened to somebody who disappeared. Mims Davies is very mindful of how raw Sarah Everard's murder is. ;Default Inference
when you are watching someone die and you are there because they can't speak to their relatives. NHS frontline jobs are not ordinary jobs. ;Default Inference
nurses and other NHS workers, because hospital porters, hospital cleaners, all the rest of them over this past year have sweat blood and tears to look after the rest of us. when the British people stood out on the doorsteps week after week applauding NHS workers, they meant it. ;Default Inference
we should accept that other people apart from NHS staff are also suffering through the pandemic and also deserve something. we should accept the 1 percent pay rice for the greater societal good.;Default Inference
as employment minister, at DWP where we had more people coming to be part of DWP from sectors that we never would have imagined would be applying for universal credit. one figure that sticks in Mims Davies' mind of their staff is the 27,000 extra hours worked over the Easter Bank Holiday weekend to get people paid and supported.;Position To Know
people are going to brand this institution as racist without any evidence. don't be surprised if in a couple of years' time you turn round and a new Nigel Farage has turned up or a new Donald Trump has turned up and they are exploiting people branding this institution as racist without any evidence for their own purposes. ;Best Explanation
there's more the government can do too. AudienceMember 20210318QT08 is completely dismayed to actually find out that we do not have any specific gender-based violence strategy in place in Northern Ireland.;Best Explanation
we'd love to be giving more money. we have a big black hole in the economy. ;Cause To Effect
people from the NHS are frontline workers. nurses and other NHS workers, because hospital porters, hospital cleaners, all the rest of them over this past year have sweat blood and tears to look after the rest of us. ;Best Explanation
it would have been better if Sunak Rishi slipped it in the pay cheque and said nothing than to tell people they are getting 1 percent pay rise. what is a 1 percent pay rise.;Default Inference
Prince Harry and Megan have decided to take this psycho drama playing out within their family. a journalist can shout to Prince William asking if the Royal Family is racist. ;Default Inference
AudienceMember 20210318QT06 is pleased about that the local council has more money. it is an opportunity for a refuge, moving women forward.;Cause To Effect
the NHS will have to do a great job after the pandemic with the recovery. we think the NHS has done a great job and continue to do a great job. ;Default Inference
getting more into debt is not the answer. you have to take the money from somewhere else. ;Default Inference
we think the NHS has done a great job and continue to do a great job. we deserve greater than a 1 percent pay rise.;Cause To Effect
we weren't providing the kind of media coverage that we were obliged to consider. the Royal Family was angry with us. ;Cause To Effect
Mims Davies saw a lot of pain coming through the TV of lack of communication. it is a conversation about a family in pain. ;Default Inference
AudienceMember is a surgeon in the National Health Service. AudienceMember would be subject to this 1 percent pay rise as well.;Cause To Effect
all of her live Bonny Greer had to put her body in a position where she could be snatched off the street or anything happened to her. violence against women is something that we prepared for. ;Best Explanation
either we are conscious of violence or we are not conscious of it, but we are prepared for it. violence against women is something that we prepared for. ;Default Inference
the whole thing has been a very embarrassing fiasco. the interview with Megan and Harry, AudienceMember 20210318QT19 didn't see much of it.;Default Inference
