text;scheme_gold
neither of Lisa Nandy or Mehdi Hasan know what they're saying. to Lisa Nandy, and Mehdi Hasan, what are you talking about. ;Default Inference
you must hold on to the bitter-sweetness. it's a bittersweet thing. ;Default Inference
there are pockets of anti-Taliban resistance, whether it is people on the street, people in Panjir Province. those with political power are or are not going to let the Taliban resistance stand alone. ;Default Inference (QA)
we did achieve a generation of young women who have had the opportunity to learn. just because the situation now is tragic, and because we didn't achieve everything that we wanted to achieve, it doesn't mean to say we achieved nothing. ;Waste
to protect the gains that means working with countries that have a degree of influence over the Taliban. we do absolutely need to work to protect those gains, and fragile as they are, and that means working with the countries in the immediate vicinity around Afghanistan. ;Threat
we need to make sure that we embed the successes that we have had. there is still work to do. ;Waste
we also need to make sure that Afghanistan doesn't once again become the place where terrorist attacks happen. there is still work to do. ;Threat
we are now seeing the ripple effects from American exit. there is still work to do. ;Threat
Nelufar Hedayat came to the UK. Nelufar Hedayat left the country she was born in. the last time a crisis in Afghanistan happened Nelufar Hedayat happened. ;Default Inference
Nelufar Hedayat tries to do good. Nelufar Hedayat gives to charity. ;Default Inference
Nelufar Hedayat tries to do good. Nelufar Hedayat works in her civil community. ;Default Inference
Nelufar Hedayat tries to do good. Nelufar Hedayat votes. ;Default Inference
all solutions should be on the table. just to remove everyone that we worked with that was the brightest and the best is not a total solution. ;Default Inference
we don't know the scale of the crisis that is about to unfold yet. the amount of refugees accepted depends in part on the scale of the crisis about to unfold. Labour has not put a number on how many refugees should the UK accept from Afghanistan. ;Ignorance
2019 is the year that most Afghans died. it's wrong to act as though, with respect to both of you, as though this is some sort of political game, as we've often heard.;Default Inference
it's a political football that gets kicked from here to there, and the Afghan people pay in blood. it's wrong to act as though, with respect to both of you, as though this is some sort of political game, as we've often heard. ;Default Inference
according to the polls ... of the Afghans wanted them out as of last January. this idea that you could stay in a stalemate Afghans made it easy for us to leave. ;Default Inference
there were people saying we would build a Switzerland in central Asia. there were people saying in 2008 that the whole thing with Afghanistan was terrifically successful.;Default Inference
the Afghan army never became self-sufficient. there was not a lot of improvement on the level of the state. ;Default Inference
there was 4 million refugees from Afghanistan. 300,000 people, nobody in the streets. Kabul was a ghost town at the end of 2001.;Best Explanation
a generation of young Afghans are watching the future unravel in front of their eyes. millions of young Afghans grew up with a transformation - girls, who never would have had chances before. we owe it to the generation of young Afghans not to engage in a counsel of despair, but to think what can we do right now to assert leverage over the situation and protect those gains. ;Waste
those failures were political and strategic. the failures were not the failures and mistakes of the very many people led by Afghans themselves, with British troops supporting them. ;Best Explanation
not just to the safety of people in Afghanistan, but to the economic prospects of people in Afghanistan as well. the clearance of land-mines, which nobody has mentioned, which gave a dramatic boost. ;Default Inference
people who are living lives similar to their opposite numbers in India. people who are able to go to school. ;Default Inference
Rory Stewart's charity was protecting it with a very small investment. people who are able to go to school. ;Default Inference
Rory Stewart's charity was protecting it with a very small investment. there were only six casualties in the year before that peace deal was signed. ;Default Inference
there were only six casualties in the year before that peace deal was signed. this has been a very low-cost, low-risk operation. ;Best Explanation
we must get out of the black and white. it was a disaster. it was brilliant. ;Default Inference
Afghanistan was a poor, fragile country which was making huge progress. we could have maintained Afghanistan's progress with a very modest investment. ;Sign
we could have maintained Afghanistan's progress with a very modest investment. we threw Afghanista's progress away. ;Default Inference
we all totally agree that what is happening right now is terrible. it wasn't inevitable. can't we all just agree that we totally did or did not underestimate the Taliban forces in the first place. ;Default Inference (QA)
AudienceMember 20210902QT15 lived for a few years in the Middle East, as a child. the social, cultural, historical values bring forward a very different way of society working.;Position To Know
one reason that the government are on the right track is that it is absolutely clear that 5,000 is too small a number over the next 12 months and we've got to make a more generous offer than that. the government are on the right track for two reasons.;Popular Opinion
up to 5,000 people, when we already know that the scale of this crisis is going to be way beyond that. one reason that the government are on the right track is that it is absolutely clear that 5,000 is too small a number over the next 12 months and we've got to make a more generous offer than that.;Threat
the second reason that the government are on the right track is that Lisa Nancy doesn't think this is sufficient is because what became apparent today is that there is absolutely no plan to deliver it. the government are on the right track for two reasons. ;Default Inference
even though the government is saying we will process your visa applications, they practically can't do it. they can't get through the roadblocks, can't get to the airport. already Afgan's involvement with the UK and many of those people are in touch with us at the moment. ;Default Inference
British people lost their lives, as well as the Americans. Al-Qaeda was being harboured in Afghanistan. the attacks on the world trade centres were devastating. ;Best Explanation
Al-Qaeda was being harboured in Afghanistan. the initial entry was to prevent Al-Qaeda from using Afghanistan as a base of operations. ;Sign
over the last 20 years, there have been no successful terrorist attacks emanating from Afghanistan. we then chose collectively also to seek to bring about a positive change in Afghanistan, support women's emancipation, education.;Default Inference
what we don't want to do is see women targeted here on the streets of the UK. we do have to be careful. ;Threat
interpreters are not the only people that fall into that category. Rory Stewart is absolutely right. ;Default Inference
Nelufar Hedayat's auntie has no hope tonight. the additional scheme for other Afghans who we know are going to be in a vulnerable position does or does not include Nelufar Hedayat's auntie, James, who has taught in a girls' school in Afghanistan during the last Taliban invasion, and rule of the country. ;Default Inference (QA)
Nelufar Hedayat's auntie has said things publicly against the Taliban. Nelufar Hedayat's auntie will be one of the first - as soon as this veneer of acceptability. ;Best Explanation
the Taliban are worried in the next month or six weeks, there will be a NATO attack, some sort of land - there will be troops on the ground. the Taliban are on their best behaviour. ;Threat
the Taliban are absolutely abiding by all those rules. the Taliban abiding by these rules could be a front. ;Default Inference
the UK gave Nelufar Hedayat schooling, and it sent her to university, and she got a job, and she worked here as a journalist, a person, as a woman, and a person of colour. the UK took Nelufar Hedayat in. ;Sign
the UK giving Nelufar Hedayat schooling, sending her to university and giving her a job, is a privilege beyond her grandmother's wildest dreams and imaginations. the UK gave Nelufar Hedayat schooling, and it sent her to university, and she got a job, and she worked here as a journalist, a person, as a woman, and a person of colour. ;Default Inference
as though the Taliban are somehow going to, under a burkha sneak their way into this country and do us harm. we need to be careful of those kinds of aspersions. ;Default Inference
the British people should be in control of how much. immigration and refugees should not be something that happens to us, that is done to the British people, it should be done with us. ;Default Inference
today, whether you want to do it via Qatar, or via the UAE, you have to directly or indirectly engage with the Taliban. everybody should be on the table. ;Default Inference
we are less safe is because of the failed war itself - 20 years of failures. we are less safe.;Best Explanation
